CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,k,COUNCIL,COUNTY,PARISH,NGR,URL
2326,HY40NE 12,Garth,Mound (Period Unassigned),346530,1006800,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4653 0680,http://canmore.org.uk/site/2326
2447,HY41SE 24,Holland,Souterrain (Prehistoric),347720,1011380,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4772 1138,http://canmore.org.uk/site/2447
2464,HY41SE 4,Head Of Holland,Site (Period Unassigned),348970,1012330,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4897 1233,http://canmore.org.uk/site/2464
2478,HY41SE 6,Berstane,Broch (Iron Age),347520,1010020,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4752 1002,http://canmore.org.uk/site/2478
2479,HY41SE 7,"Kirkwall, St Ola's Bridge","Bridge (Period Unassigned), Date Stone (17th Century)",345020,1011120,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4502 1112,http://canmore.org.uk/site/2479
2596,HY41SW 8,Newbigging,Cist (Period Unassigned),343000,1010000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 43 10,http://canmore.org.uk/site/2596
2480,HY41SE 80,"Kirkwall, St Ola's Church And Burial-ground","Burial Ground (Period Unassigned), Church (16th Century)",345040,1011160,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4504 1116,http://canmore.org.uk/site/2480
2481,HY41SE 81,"Kirkwall, St Ola's Church",Hogback Stone (Early Medieval),345000,1011100,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 450 111,http://canmore.org.uk/site/2481
2482,HY41SE 9,"Kirkwall, 'graveyard'",Burial Ground (Period Unassigned)(Possible),345060,1011150,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4506 1115,http://canmore.org.uk/site/2482
2607,HY41SW 9,Caldale,"Findspot (18th Century), Brooch(S), Coin Hoard",341000,1010000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 41 10,http://canmore.org.uk/site/2607
